time,open,high,low,close,color,moving_average,color_moving_average
1732600860,2624.39,2624.39,2624.19,2624.19,,2622.013799999999,#ef5350
1732600920,2623.87,2624.39,2622.9,2622.9,,2621.9989999999984,#ef5350
1732600980,2623.12,2623.33,2623.12,2623.33,,2622.034999999998,#26a69a
1732601040,2623.66,2624.18,2623.12,2624.18,#450C69,2622.050599999998,#26a69a
1732601100,2624.49,2624.49,2624.02,2624.02,,2622.0755999999983,#26a69a
1732601160,2623.45,2623.69,2623.45,2623.69,,2622.1257999999984,#26a69a
1732601220,2624.33,2625.17,2623.41,2625.17,#450C69,2622.1709999999985,#26a69a
1732601280,2624.98,2624.98,2624.92,2624.92,,2622.2307999999985,#26a69a
1732601340,2624.77,2624.98,2624.77,2624.98,,2622.2905999999984,#26a69a
1732601400,2624.54,2624.98,2624.54,2624.98,,2622.348599999998,#26a69a
1732601460,2625.06,2625.41,2625.06,2625.41,,2622.402799999998,#26a69a
1732601520,2625.13,2625.23,2625.06,2625.23,,2622.449799999998,#26a69a
1732601580,2625.52,2625.52,2624.89,2624.89,,2622.4675999999977,#26a69a
1732601640,2624.71,2625.52,2624.6,2624.6,#450C69,2622.4853999999973,#26a69a
1732601700,2624.6,2624.62,2624.6,2624.6,#450C69,2622.5087999999973,#26a69a
1732601760,2624.57,2624.57,2624.36,2624.36,,2622.5077999999976,#ef5350
1732601820,2623.9,2624.57,2623.84,2623.84,#450C69,2622.5171999999975,#26a69a
1732601880,2623.9,2623.9,2623.61,2623.61,,2622.5273999999977,#26a69a
1732601940,2623.44,2623.9,2622.87,2622.87,,2622.5497999999975,#26a69a
1732602000,2622.74,2623.43,2622.74,2623.43,,2622.5813999999978,#26a69a
1732602060,2622.87,2622.87,2622.78,2622.78,,2622.6323999999977,#26a69a
1732602120,2623.07,2623.18,2622.87,2623.18,#450C69,2622.6775999999973,#26a69a
